Index,Random Seed,#,Property,Actual,Predicted,Uncertainty,K_fold
38,1,72.0,Total Thermal Conductivity (W/mK),1.0,1.5269919633865356,0.025360943749547,3
39,1,74.0,Total Thermal Conductivity (W/mK),1.7400000095367432,2.324678659439087,0.0679466277360916,1
40,1,75.0,Total Thermal Conductivity (W/mK),1.4800000190734863,1.702836275100708,0.0383919030427932,1
41,1,80.0,Total Thermal Conductivity (W/mK),1.0800000429153442,1.5950555801391602,0.0432692244648933,1
42,1,81.0,Total Thermal Conductivity (W/mK),1.7000000476837158,1.352543830871582,0.0274632591754198,1
43,1,89.0,Total Thermal Conductivity (W/mK),4.809999942779541,4.437373161315918,0.1458330303430557,2
44,1,97.0,Total Thermal Conductivity (W/mK),7.039999961853027,4.883274078369141,0.1656878292560577,1
45,1,104.0,Total Thermal Conductivity (W/mK),14.06999969482422,5.097516059875488,0.1490212380886078,1
46,1,131.0,Total Thermal Conductivity (W/mK),20.3700008392334,12.0286865234375,0.7114496827125549,2
47,1,138.0,Total Thermal Conductivity (W/mK),0.8389999866485596,0.9613816738128662,0.0717010721564292,3
48,1,150.0,Total Thermal Conductivity (W/mK),0.5550000071525574,0.5511623620986938,0.0214524287730455,5
49,1,151.0,Total Thermal Conductivity (W/mK),0.5410000085830688,0.5296117067337036,0.0205932520329952,5
50,1,152.0,Total Thermal Conductivity (W/mK),0.5270000100135803,0.5286365747451782,0.0236235447227954,5
51,1,153.0,Total Thermal Conductivity (W/mK),0.515999972820282,0.5326108932495117,0.0221114717423915,5
52,1,161.0,Total Thermal Conductivity (W/mK),0.4410000145435333,0.5307503938674927,0.0120774386450648,1
53,1,162.0,Total Thermal Conductivity (W/mK),0.4289999902248382,0.5181151628494263,0.0129865687340497,1
54,1,163.0,Total Thermal Conductivity (W/mK),0.4199999868869781,0.4976747035980224,0.0149750160053372,1
55,1,164.0,Total Thermal Conductivity (W/mK),0.4210000038146972,0.4973413944244385,0.0122723644599318,1
56,1,165.0,Total Thermal Conductivity (W/mK),0.4160000085830688,0.503790020942688,0.0121890483424067,1
57,1,168.0,Total Thermal Conductivity (W/mK),0.5299999713897705,0.4450428485870361,0.0262678563594818,3
58,1,169.0,Total Thermal Conductivity (W/mK),0.5230000019073486,0.6363286972045898,0.0209603030234575,3
59,1,170.0,Total Thermal Conductivity (W/mK),0.5109999775886536,0.5127124786376953,0.0169793609529733,3
60,1,171.0,Total Thermal Conductivity (W/mK),0.4970000088214874,0.4353629350662231,0.020398961380124,3
61,1,172.0,Total Thermal Conductivity (W/mK),0.4839999973773956,0.4442383050918579,0.0188078694045543,3
62,1,173.0,Total Thermal Conductivity (W/mK),0.4720000028610229,0.3992102146148681,0.0237202160060405,3
63,1,174.0,Total Thermal Conductivity (W/mK),0.4670000076293945,0.4242849349975586,0.0213909000158309,3
64,1,175.0,Total Thermal Conductivity (W/mK),0.4620000123977661,0.4418087005615234,0.0241892226040363,3
65,1,176.0,Total Thermal Conductivity (W/mK),0.4480000138282776,0.4540681838989258,0.0190138779580593,3
66,1,177.0,Total Thermal Conductivity (W/mK),0.4390000104904175,0.4823075532913208,0.0212766509503126,3
67,1,244.0,Total Thermal Conductivity (W/mK),1.5099999904632568,1.407599687576294,0.0178270507603883,3
68,1,245.0,Total Thermal Conductivity (W/mK),1.590000033378601,1.5426926612854004,0.024509510025382,3
69,1,255.0,Total Thermal Conductivity (W/mK),1.309999942779541,1.4557950496673584,0.0258266199380159,5
70,1,256.0,Total Thermal Conductivity (W/mK),1.4199999570846558,1.4993467330932615,0.0268540773540735,5
71,1,257.0,Total Thermal Conductivity (W/mK),2.890000104904175,2.9550111293792725,0.0396893210709095,1
72,1,258.0,Total Thermal Conductivity (W/mK),2.75,2.7664108276367188,0.0367528274655342,1
73,1,259.0,Total Thermal Conductivity (W/mK),2.569999933242798,2.5621132850646973,0.0312679484486579,1
74,1,260.0,Total Thermal Conductivity (W/mK),2.440000057220459,2.5391430854797363,0.0251578520983457,1
75,1,261.0,Total Thermal Conductivity (W/mK),2.299999952316284,2.449130058288574,0.0236233621835708,1
76,1,262.0,Total Thermal Conductivity (W/mK),2.180000066757202,2.3701038360595703,0.0204314514994621,1
77,1,263.0,Total Thermal Conductivity (W/mK),2.0899999141693115,2.316650390625,0.0199471767991781,1
78,1,264.0,Total Thermal Conductivity (W/mK),2.0,2.310281991958618,0.0186077523976564,1
79,1,265.0,Total Thermal Conductivity (W/mK),1.940000057220459,2.276803970336914,0.0184130575507879,1
80,1,266.0,Total Thermal Conductivity (W/mK),1.9299999475479128,2.247589588165283,0.0188357587903738,1
81,1,267.0,Total Thermal Conductivity (W/mK),1.940000057220459,2.2458531856536865,0.020858870819211,1
82,1,268.0,Total Thermal Conductivity (W/mK),1.940000057220459,2.246670722961426,0.0190785098820924,1
83,1,269.0,Total Thermal Conductivity (W/mK),1.940000057220459,2.2093687057495117,0.01938515342772,1
84,1,270.0,Total Thermal Conductivity (W/mK),2.799999952316284,2.854211807250977,0.0384691655635833,4
85,1,271.0,Total Thermal Conductivity (W/mK),2.6600000858306885,2.7728283405303955,0.0333514921367168,4
86,1,272.0,Total Thermal Conductivity (W/mK),2.5399999618530273,2.7106008529663086,0.0361752100288867,4
87,1,273.0,Total Thermal Conductivity (W/mK),2.430000066757202,2.5466058254241943,0.0266906954348087,4
88,1,274.0,Total Thermal Conductivity (W/mK),2.3399999141693115,2.4200754165649414,0.0219701211899518,4
89,1,275.0,Total Thermal Conductivity (W/mK),2.2799999713897705,2.3589587211608887,0.0201928988099098,4
90,1,276.0,Total Thermal Conductivity (W/mK),2.2300000190734863,2.282060146331787,0.0201790463179349,4
91,1,277.0,Total Thermal Conductivity (W/mK),2.2100000381469727,2.206540822982788,0.0196035522967576,4
92,1,278.0,Total Thermal Conductivity (W/mK),2.200000047683716,2.210928440093994,0.0204336754977703,4
93,1,279.0,Total Thermal Conductivity (W/mK),2.180000066757202,2.22234845161438,0.0207018852233886,4
94,1,280.0,Total Thermal Conductivity (W/mK),2.1600000858306885,2.241079330444336,0.0262633170932531,4
95,1,281.0,Total Thermal Conductivity (W/mK),2.1500000953674316,2.280881881713867,0.0240664780139923,4
96,1,282.0,Total Thermal Conductivity (W/mK),2.1500000953674316,2.2793731689453125,0.0251098293811082,4
97,1,283.0,Total Thermal Conductivity (W/mK),2.9600000381469727,3.1425535678863525,0.0546007826924324,5
98,1,284.0,Total Thermal Conductivity (W/mK),2.8399999141693115,2.94974422454834,0.0453968457877635,5
99,1,285.0,Total Thermal Conductivity (W/mK),2.7699999809265137,2.8060483932495117,0.0449092015624046,5
100,1,286.0,Total Thermal Conductivity (W/mK),2.680000066757202,2.7425150871276855,0.0366477034986019,5
101,1,287.0,Total Thermal Conductivity (W/mK),2.5899999141693115,2.620074510574341,0.031382817775011,5
102,1,288.0,Total Thermal Conductivity (W/mK),2.5899999141693115,2.5903191566467285,0.0285283643752336,5
103,1,289.0,Total Thermal Conductivity (W/mK),2.559999942779541,2.537229537963867,0.0275799129158258,5
104,1,290.0,Total Thermal Conductivity (W/mK),2.5399999618530273,2.5281240940093994,0.0326493866741657,5
105,1,291.0,Total Thermal Conductivity (W/mK),2.549999952316284,2.4978044033050537,0.0288350414484739,5
106,1,292.0,Total Thermal Conductivity (W/mK),2.5899999141693115,2.5180294513702393,0.0312568880617618,5
107,1,293.0,Total Thermal Conductivity (W/mK),2.619999885559082,2.5031447410583496,0.0360688008368015,5
108,1,294.0,Total Thermal Conductivity (W/mK),2.6500000953674316,2.5355355739593506,0.0335895530879497,5
109,1,295.0,Total Thermal Conductivity (W/mK),2.6700000762939453,2.5660440921783447,0.0338876880705356,5
110,1,296.0,Total Thermal Conductivity (W/mK),3.25,2.9814980030059814,0.0380947031080722,1
111,1,297.0,Total Thermal Conductivity (W/mK),3.0199999809265137,2.7325713634490967,0.0322688668966293,1
112,1,298.0,Total Thermal Conductivity (W/mK),2.9100000858306885,2.7217326164245605,0.033052772283554,1
113,1,299.0,Total Thermal Conductivity (W/mK),2.8499999046325684,2.634446144104004,0.0255347490310668,1
114,1,300.0,Total Thermal Conductivity (W/mK),2.7699999809265137,2.5937581062316895,0.0227022841572761,1
115,1,301.0,Total Thermal Conductivity (W/mK),2.7300000190734863,2.6293845176696777,0.0257386676967144,1
116,1,302.0,Total Thermal Conductivity (W/mK),2.680000066757202,2.597856044769287,0.025409547612071,1
117,1,303.0,Total Thermal Conductivity (W/mK),2.640000104904175,2.5618791580200195,0.0248450562357902,1
118,1,304.0,Total Thermal Conductivity (W/mK),2.6500000953674316,2.5619847774505615,0.0246252994984388,1
119,1,305.0,Total Thermal Conductivity (W/mK),2.6700000762939453,2.6476011276245117,0.027325352653861,1
120,1,306.0,Total Thermal Conductivity (W/mK),2.700000047683716,2.5968453884124756,0.0292288959026336,1
121,1,307.0,Total Thermal Conductivity (W/mK),2.740000009536743,2.6259922981262207,0.0289021059870719,1
122,1,308.0,Total Thermal Conductivity (W/mK),2.7699999809265137,2.75502347946167,0.0361727960407733,1
123,1,309.0,Total Thermal Conductivity (W/mK),3.839999914169311,2.247265577316284,0.0515459366142749,1
124,1,310.0,Total Thermal Conductivity (W/mK),3.7300000190734863,2.301750659942627,0.0558414906263351,1
125,1,311.0,Total Thermal Conductivity (W/mK),3.6700000762939458,2.2857160568237305,0.05123146250844,1
126,1,312.0,Total Thermal Conductivity (W/mK),3.569999933242798,1.9615825414657593,0.0503049716353416,1
127,1,313.0,Total Thermal Conductivity (W/mK),3.490000009536743,1.934159517288208,0.0500067360699176,1
128,1,314.0,Total Thermal Conductivity (W/mK),3.4200000762939453,1.7539743185043335,0.0490255951881408,1
129,1,316.0,Total Thermal Conductivity (W/mK),3.180000066757202,2.0087764263153076,0.0656719729304313,1
130,1,318.0,Total Thermal Conductivity (W/mK),4.130000114440918,3.4092068672180176,0.0660399049520492,1
131,1,319.0,Total Thermal Conductivity (W/mK),4.050000190734863,3.56947660446167,0.0601558126509189,1
132,1,320.0,Total Thermal Conductivity (W/mK),3.9600000381469727,3.5810019969940186,0.0619654431939125,1
133,1,321.0,Total Thermal Conductivity (W/mK),3.809999942779541,3.3633744716644287,0.0574457645416259,1
134,1,322.0,Total Thermal Conductivity (W/mK),3.75,3.482177734375,0.0593723356723785,1
135,1,323.0,Total Thermal Conductivity (W/mK),3.609999895095825,3.252277374267578,0.0525991953909397,1
136,1,324.0,Total Thermal Conductivity (W/mK),3.5,3.151142120361328,0.0527220107614994,1
137,1,327.0,Total Thermal Conductivity (W/mK),4.449999809265137,4.397505283355713,0.0757233723998069,3
138,1,328.0,Total Thermal Conductivity (W/mK),4.360000133514404,4.211781978607178,0.063697949051857,3
139,1,329.0,Total Thermal Conductivity (W/mK),4.28000020980835,4.059039115905762,0.0564126186072826,3
140,1,330.0,Total Thermal Conductivity (W/mK),4.199999809265137,4.0110039710998535,0.0545845888555049,3
141,1,331.0,Total Thermal Conductivity (W/mK),4.019999980926514,3.8515217304229736,0.0545999333262443,3
142,1,332.0,Total Thermal Conductivity (W/mK),3.890000104904175,3.8241488933563232,0.055740226060152,3
143,1,333.0,Total Thermal Conductivity (W/mK),3.759999990463257,3.660250186920166,0.0533978790044784,3
144,1,334.0,Total Thermal Conductivity (W/mK),3.619999885559082,3.500328063964844,0.0521888695657253,3
145,1,335.0,Total Thermal Conductivity (W/mK),3.5,3.4739723205566406,0.0481176488101482,3
146,1,336.0,Total Thermal Conductivity (W/mK),4.519999980926514,5.966006278991699,0.1180522963404655,3
147,1,337.0,Total Thermal Conductivity (W/mK),4.489999771118164,5.694467544555664,0.1028487309813499,3
148,1,338.0,Total Thermal Conductivity (W/mK),4.420000076293945,5.431190490722656,0.0927770286798477,3
149,1,339.0,Total Thermal Conductivity (W/mK),4.340000152587891,5.207958221435547,0.0881634056568145,3
150,1,340.0,Total Thermal Conductivity (W/mK),4.21999979019165,5.0603437423706055,0.0872124433517456,3
151,1,341.0,Total Thermal Conductivity (W/mK),4.070000171661377,4.727897644042969,0.0810277983546257,3
152,1,342.0,Total Thermal Conductivity (W/mK),3.9200000762939458,4.632713317871094,0.0805556625127792,3
153,1,343.0,Total Thermal Conductivity (W/mK),3.7699999809265137,4.292791366577148,0.0755128562450409,3
154,1,344.0,Total Thermal Conductivity (W/mK),3.5999999046325684,4.149738788604736,0.0656845793128013,3
155,1,345.0,Total Thermal Conductivity (W/mK),5.889999866485596,4.539435386657715,0.0475941561162471,4
156,1,346.0,Total Thermal Conductivity (W/mK),5.71999979019165,4.318682670593262,0.0397441089153289,4
157,1,347.0,Total Thermal Conductivity (W/mK),5.550000190734863,4.255209922790527,0.0390566177666187,4
158,1,348.0,Total Thermal Conductivity (W/mK),5.369999885559082,4.127691268920898,0.0368952266871929,4
159,1,349.0,Total Thermal Conductivity (W/mK),5.210000038146973,4.01930046081543,0.0385737381875515,4
160,1,350.0,Total Thermal Conductivity (W/mK),4.980000019073486,3.8805339336395264,0.0380010083317756,4
161,1,351.0,Total Thermal Conductivity (W/mK),4.769999980926514,3.71438193321228,0.0374398417770862,4
162,1,352.0,Total Thermal Conductivity (W/mK),4.539999961853027,3.5945515632629395,0.0387192778289318,4
163,1,353.0,Total Thermal Conductivity (W/mK),4.329999923706055,3.331071376800537,0.0375440493226051,4
164,1,354.0,Total Thermal Conductivity (W/mK),0.5417799949645996,0.4785531759262085,0.012827212922275,1
165,1,355.0,Total Thermal Conductivity (W/mK),0.5318800210952759,0.4383319616317749,0.0111920526251196,1
166,1,356.0,Total Thermal Conductivity (W/mK),0.5121399760246277,0.5166032314300537,0.0139324348419904,1
167,1,357.0,Total Thermal Conductivity (W/mK),0.4892700016498565,0.4550747871398926,0.0144432950764894,1
168,1,358.0,Total Thermal Conductivity (W/mK),0.4636799991130829,0.4708247184753418,0.0119727253913879,1
169,1,359.0,Total Thermal Conductivity (W/mK),0.4559099972248077,0.4759994745254516,0.0125662228092551,1
170,1,360.0,Total Thermal Conductivity (W/mK),0.4584800004959106,0.4799330234527588,0.0103876404464244,1
171,1,361.0,Total Thermal Conductivity (W/mK),0.46492999792099,0.4848041534423828,0.0135363936424255,1
172,1,362.0,Total Thermal Conductivity (W/mK),0.4712499976158142,0.5247347354888916,0.0124406022951006,1
173,1,363.0,Total Thermal Conductivity (W/mK),0.4973399937152862,0.4736605882644653,0.0120083400979638,1
174,1,364.0,Total Thermal Conductivity (W/mK),0.5288000106811523,0.4872366189956665,0.013723399490118,1
175,1,366.0,Total Thermal Conductivity (W/mK),0.4019599854946136,0.3933233022689819,0.012782878242433,1
176,1,367.0,Total Thermal Conductivity (W/mK),0.3885799944400787,0.4385879039764404,0.0121285766363143,1
177,1,368.0,Total Thermal Conductivity (W/mK),0.3978100121021271,0.4373503923416137,0.0131933726370334,1
178,1,369.0,Total Thermal Conductivity (W/mK),0.3912700116634369,0.4847499132156372,0.0110608180984854,1
179,1,370.0,Total Thermal Conductivity (W/mK),0.3985300064086914,0.4771714210510254,0.0107743730768561,1
180,1,371.0,Total Thermal Conductivity (W/mK),0.4007700085639953,0.4725176095962524,0.0106082577258348,1
181,1,372.0,Total Thermal Conductivity (W/mK),0.4264799952507019,0.4838079214096069,0.010401583276689,1
182,1,373.0,Total Thermal Conductivity (W/mK),0.4494400024414062,0.512653112411499,0.0107321795076131,1
183,1,374.0,Total Thermal Conductivity (W/mK),0.464819997549057,0.5210071802139282,0.009945360943675,1
184,1,375.0,Total Thermal Conductivity (W/mK),0.4344100058078766,0.4959372282028198,0.0108333295211195,1
185,1,376.0,Total Thermal Conductivity (W/mK),0.2620522379875183,0.3280366659164428,0.0153041183948516,3
186,1,377.0,Total Thermal Conductivity (W/mK),0.2764091789722442,0.3630355596542358,0.0151035338640213,3
187,1,378.0,Total Thermal Conductivity (W/mK),0.3045958876609802,0.3777780532836914,0.0121964458376169,3
188,1,379.0,Total Thermal Conductivity (W/mK),0.3594235479831695,0.4037833213806152,0.0138170570135116,3
189,1,380.0,Total Thermal Conductivity (W/mK),0.3582257628440857,0.4027652740478515,0.0120712695643305,3
190,1,381.0,Total Thermal Conductivity (W/mK),0.3892931938171386,0.4121633768081665,0.0118757663294672,3
191,1,382.0,Total Thermal Conductivity (W/mK),0.3950729668140411,0.4156763553619385,0.0127250263467431,3
192,1,383.0,Total Thermal Conductivity (W/mK),0.4125591814517975,0.4380576610565185,0.0115717044100165,3
193,1,384.0,Total Thermal Conductivity (W/mK),0.4463415145874023,0.4524910449981689,0.0108802039176225,3
194,1,385.0,Total Thermal Conductivity (W/mK),0.4561594724655151,0.4460018873214721,0.0113599449396133,3
195,1,386.0,Total Thermal Conductivity (W/mK),0.4582924246788025,0.4173709154129028,0.0137740084901452,3
196,1,387.0,Total Thermal Conductivity (W/mK),0.2875100076198578,0.4544644355773926,0.0134228123351931,1
197,1,388.0,Total Thermal Conductivity (W/mK),0.307090014219284,0.464648962020874,0.0135444896295666,1
198,1,389.0,Total Thermal Conductivity (W/mK),0.3544900119304657,0.4783946275711059,0.0132913291454315,1
199,1,390.0,Total Thermal Conductivity (W/mK),0.3874599933624267,0.5134260654449463,0.0140455998480319,1
200,1,391.0,Total Thermal Conductivity (W/mK),0.3967899978160858,0.5214828252792358,0.0119442483410239,1
201,1,392.0,Total Thermal Conductivity (W/mK),0.4057599902153015,0.5130692720413208,0.0116369109600782,1
202,1,393.0,Total Thermal Conductivity (W/mK),0.423799991607666,0.4951989650726318,0.011320861056447,1
203,1,394.0,Total Thermal Conductivity (W/mK),0.4347899854183197,0.496082067489624,0.0113834794610738,1
204,1,395.0,Total Thermal Conductivity (W/mK),0.4391700029373169,0.5514013767242432,0.0117114437744021,1
205,1,396.0,Total Thermal Conductivity (W/mK),0.4431000053882599,0.5444849729537964,0.0105193071067333,1
206,1,397.0,Total Thermal Conductivity (W/mK),0.3918200135231018,0.5300090312957764,0.011863911524415,1
207,1,398.0,Total Thermal Conductivity (W/mK),0.5854924917221069,0.3066715002059936,0.0148519165813922,3
208,1,399.0,Total Thermal Conductivity (W/mK),0.5942838788032532,0.3213999271392822,0.0139208976179361,3
209,1,400.0,Total Thermal Conductivity (W/mK),0.5929071307182312,0.3584346771240234,0.0124119156971573,3
210,1,401.0,Total Thermal Conductivity (W/mK),0.6077988147735596,0.3820384740829468,0.0135418912395834,3
211,1,402.0,Total Thermal Conductivity (W/mK),0.5852007269859314,0.3865295648574829,0.0120495203882455,3
212,1,403.0,Total Thermal Conductivity (W/mK),0.5847815871238708,0.3924241065979004,0.0117044122889637,3
213,1,404.0,Total Thermal Conductivity (W/mK),0.5425760746002197,0.401297926902771,0.0128211928531527,3
214,1,405.0,Total Thermal Conductivity (W/mK),0.534745454788208,0.4176926612854004,0.0130619797855615,3
215,1,406.0,Total Thermal Conductivity (W/mK),0.5752992033958435,0.4214476346969604,0.0119204279035329,3
216,1,407.0,Total Thermal Conductivity (W/mK),0.6168758869171143,0.4194283485412597,0.0125274565070867,3
217,1,408.0,Total Thermal Conductivity (W/mK),0.5758523344993591,0.3731205463409424,0.0160575024783611,3
218,1,413.0,Total Thermal Conductivity (W/mK),3.13700008392334,1.8037304878234863,0.0249022729694843,2
219,1,414.0,Total Thermal Conductivity (W/mK),2.816999912261963,1.6250104904174805,0.0236045811325311,2
220,1,415.0,Total Thermal Conductivity (W/mK),2.5339999198913574,1.397848129272461,0.0198530834168195,2
221,1,416.0,Total Thermal Conductivity (W/mK),2.2290000915527344,1.2263617515563965,0.0172677654772996,2
222,1,425.0,Total Thermal Conductivity (W/mK),2.490000009536743,1.9682625532150269,0.0359283424913883,3
223,1,426.0,Total Thermal Conductivity (W/mK),2.253999948501587,1.7572802305221558,0.0307121407240629,3
224,1,427.0,Total Thermal Conductivity (W/mK),2.0309998989105225,1.6687792539596558,0.0280434153974056,3
225,1,428.0,Total Thermal Conductivity (W/mK),1.809000015258789,1.3892385959625244,0.0238076839596033,3
226,1,429.0,Total Thermal Conductivity (W/mK),1.6299999952316284,1.288690447807312,0.0212159361690282,3
227,1,430.0,Total Thermal Conductivity (W/mK),1.4809999465942385,1.0841718912124634,0.0187896993011236,3
228,1,431.0,Total Thermal Conductivity (W/mK),1.366000056266785,1.0681755542755127,0.0165500957518816,3
229,1,432.0,Total Thermal Conductivity (W/mK),1.3309999704360962,1.0405291318893433,0.0175928547978401,3
230,1,433.0,Total Thermal Conductivity (W/mK),1.3029999732971191,1.0735700130462646,0.0167339351028203,3
231,1,434.0,Total Thermal Conductivity (W/mK),1.2510000467300415,1.0196523666381836,0.0168708842247724,3
232,1,437.0,Total Thermal Conductivity (W/mK),2.234999895095825,1.5940735340118408,0.0326893404126167,1
233,1,438.0,Total Thermal Conductivity (W/mK),2.0290000438690186,1.5478966236114502,0.0266264900565147,1
234,1,439.0,Total Thermal Conductivity (W/mK),1.8459999561309817,1.5056917667388916,0.0274063125252723,1
235,1,440.0,Total Thermal Conductivity (W/mK),1.6749999523162842,1.411926507949829,0.023728298023343,1
236,1,441.0,Total Thermal Conductivity (W/mK),1.506999969482422,1.3045306205749512,0.0227025095373392,1
237,1,442.0,Total Thermal Conductivity (W/mK),1.3220000267028809,1.1935029029846191,0.0202518831938505,1
238,1,443.0,Total Thermal Conductivity (W/mK),1.1970000267028809,1.1165375709533691,0.0198184177279472,1
239,1,444.0,Total Thermal Conductivity (W/mK),1.1419999599456787,1.1297593116760254,0.0202813670039176,1
240,1,445.0,Total Thermal Conductivity (W/mK),1.118000030517578,1.059990167617798,0.0191206932067871,1
241,1,446.0,Total Thermal Conductivity (W/mK),1.0859999656677246,1.101246356964111,0.0175316743552684,1
242,1,447.0,Total Thermal Conductivity (W/mK),1.0670000314712524,1.07121479511261,0.0183565318584442,1
243,1,452.0,Total Thermal Conductivity (W/mK),1.4459999799728394,1.2321233749389648,0.0172080360352993,1
244,1,453.0,Total Thermal Conductivity (W/mK),1.2920000553131104,1.1155335903167725,0.013501570560038,1
245,1,454.0,Total Thermal Conductivity (W/mK),1.118000030517578,1.0420417785644531,0.0135627733543515,1
246,1,455.0,Total Thermal Conductivity (W/mK),1.0290000438690186,0.9522701501846312,0.0130876367911696,1
247,1,456.0,Total Thermal Conductivity (W/mK),0.9532999992370604,0.9149134159088136,0.0124073978513479,1
248,1,457.0,Total Thermal Conductivity (W/mK),0.9057000279426576,0.885340690612793,0.0127149857580661,1
249,1,458.0,Total Thermal Conductivity (W/mK),0.8497999906539917,0.8754305839538574,0.011876868084073,1
250,1,459.0,Total Thermal Conductivity (W/mK),0.8133999705314636,0.854617714881897,0.0104114823043346,1
251,1,460.0,Total Thermal Conductivity (W/mK),0.800000011920929,0.8356224298477173,0.0111793214455246,1
252,1,462.0,Total Thermal Conductivity (W/mK),1.687000036239624,1.72064208984375,0.0496224872767925,2
253,1,463.0,Total Thermal Conductivity (W/mK),1.496000051498413,1.6108380556106567,0.0471729449927806,2
254,1,464.0,Total Thermal Conductivity (W/mK),1.366000056266785,1.48843514919281,0.0350784063339233,2
255,1,465.0,Total Thermal Conductivity (W/mK),1.253999948501587,1.3023364543914795,0.0342801436781883,2
256,1,466.0,Total Thermal Conductivity (W/mK),1.1430000066757202,1.2227163314819336,0.0316897891461849,2
257,1,467.0,Total Thermal Conductivity (W/mK),1.0709999799728394,1.0636131763458252,0.027805607765913,2
258,1,468.0,Total Thermal Conductivity (W/mK),1.0,1.0115470886230469,0.0287253335118293,2
259,1,469.0,Total Thermal Conductivity (W/mK),0.8914999961853027,0.9527071714401244,0.0265387874096632,2
260,1,470.0,Total Thermal Conductivity (W/mK),0.8942999839782715,0.9292964935302734,0.0244632065296173,2
261,1,471.0,Total Thermal Conductivity (W/mK),0.8636999726295471,0.8597040176391602,0.0227592308074235,2
